The entries matching your request:  (A maximun result of 3000 entries is viewable at anyone time)
county name,manor name,estate name,start year,end year,wheat gross yield per seed ratio,barley gross yield per seed ratio,dredge gross yield per seed ratio,oats gross yield per seed ratio,source
Berkshire,Brightwell,Bishop of Winchester,1369,1370,5.56,5.89,,5.33,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1370,1371,6.86,6.13,,4.78,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1371,1372,5.38,5.53,,5.9,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1372,1373,7.27,8.01,,5.55,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1373,1374,4.01,5.16,,6,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1374,1375,4.01,5.58,,6.4,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1375,1376,6.45,6.32,,5.2,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1376,1377,6.18,6.61,,7,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1377,1378,5.97,6.75,,6,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1378,1379,5.62,6.62,,7.25,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1379,1380,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1380,1381,6.9,6.34,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1381,1382,4.48,7.05,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1382,1383,8.21,6.72,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1383,1384,6.15,6.25,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1384,1385,5.37,5.84,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1385,1386,6.2,6.1,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1386,1387,8.06,6.22,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1387,1388,7.6,8.7,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1388,1389,4.11,6.17,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1389,1390,5.69,5.88,,,Titow (to 1349); Farmer (from 1350)
